,Iteration,Selected Features,Accuracy,Precision,Recall,F1 Score,AUC-ROC
0,1,"['account length', 'international plan', 'total day calls', 'total intl charge', 'total night calls', 'total intl calls', 'total eve calls', 'total intl minutes', 'voice mail plan', 'total eve charge']",0.8920539730134932,0.9629629629629629,0.26804123711340205,0.41935483870967744,0.6331434255742449
1,2,"['total intl calls', 'total intl charge', 'total day charge', 'voice mail plan', 'total eve calls', 'total eve charge', 'number vmail messages', 'total night minutes', 'total night charge', 'account length']",0.889055472263868,0.8709677419354839,0.27835051546391754,0.421875,0.6356664858021341
2,3,"['customer service calls', 'international plan', 'total day calls', 'account length', 'total night minutes', 'total eve minutes', 'total day minutes', 'total night charge', 'total eve calls', 'number vmail messages']",0.9100449775112444,0.8936170212765957,0.4329896907216495,0.5833333333333334,0.712108880448544
3,4,"['total night minutes', 'total eve minutes', 'account length', 'voice mail plan', 'total day calls', 'total day charge', 'customer service calls', 'total night charge', 'total day minutes', 'total intl calls']",0.9175412293853074,0.8620689655172413,0.5154639175257731,0.6451612903225806,0.7507144149032374
4,5,"['total intl charge', 'customer service calls', 'total day minutes', 'total eve charge', 'total eve calls', 'total day charge', 'total night minutes', 'total day calls', 'total night calls', 'total night charge']",0.896551724137931,0.7333333333333333,0.4536082474226804,0.5605095541401274,0.712769035992042
5,6,"['voice mail plan', 'account length', 'total day calls', 'total night charge', 'total night minutes', 'total intl charge', 'total intl calls', 'total day minutes', 'customer service calls', 'total eve calls']",0.8800599700149925,0.6666666666666666,0.35051546391752575,0.4594594594594595,0.6603454512570086
6,7,"['international plan', 'total night minutes', 'total day minutes', 'total eve charge', 'total day calls', 'voice mail plan', 'number vmail messages', 'total intl minutes', 'total eve minutes', 'total night calls']",0.9160419790104948,0.9019607843137255,0.4742268041237113,0.6216216216216216,0.732727437149575
7,8,"['total day calls', 'total intl calls', 'voice mail plan', 'total night calls', 'customer service calls', 'international plan', 'number vmail messages', 'total eve minutes', 'total intl charge', 'total night charge']",0.8995502248875562,0.7884615384615384,0.422680412371134,0.5503355704697986,0.7016910833785496
8,9,"['total intl minutes', 'international plan', 'number vmail messages', 'total eve charge', 'total eve calls', 'total night charge', 'total day charge', 'customer service calls', 'total intl calls', 'account length']",0.9355322338830585,0.9090909090909091,0.6185567010309279,0.7361963190184049,0.8040151926207271
9,10,"['international plan', 'customer service calls', 'total day calls', 'total intl calls', 'total night calls', 'total eve minutes', 'total day minutes', 'number vmail messages', 'account length', 'total intl charge']",0.9370314842578711,0.8985507246376812,0.6391752577319587,0.7469879518072289,0.8134472779887864
10,11,"['total eve minutes', 'total eve charge', 'account length', 'total eve calls', 'total day minutes', 'total night calls', 'international plan', 'total intl minutes', 'total day calls', 'voice mail plan']",0.904047976011994,0.8837209302325582,0.3917525773195876,0.5428571428571428,0.6914903237475131
11,12,"['international plan', 'voice mail plan', 'total eve minutes', 'total day minutes', 'total eve calls', 'customer service calls', 'account length', 'total night charge', 'total day charge', 'total eve charge']",0.9175412293853074,0.85,0.5257731958762887,0.6496815286624203,0.754991861096039
12,13,"['customer service calls', 'total night calls', 'total intl minutes', 'total eve charge', 'number vmail messages', 'international plan', 'total intl calls', 'account length', 'total day minutes', 'total intl charge']",0.9370314842578711,0.9104477611940298,0.6288659793814433,0.7439024390243902,0.8091698317959847
13,14,"['customer service calls', 'total eve minutes', 'total day calls', 'total night minutes', 'total night calls', 'total day minutes', 'total night charge', 'voice mail plan', 'international plan', 'total day charge']",0.9145427286356822,0.8571428571428571,0.4948453608247423,0.6274509803921569,0.740405136552722
14,15,"['total eve calls', 'total eve minutes', 'total intl minutes', 'number vmail messages', 'total night minutes', 'total intl calls', 'total night charge', 'voice mail plan', 'total eve charge', 'account length']",0.8470764617691154,0.14285714285714285,0.010309278350515464,0.019230769230769232,0.49989148128052086
15,16,"['voice mail plan', 'total eve charge', 'total eve calls', 'total night charge', 'international plan', 'total intl minutes', 'total day minutes', 'total night calls', 'customer service calls', 'account length']",0.9250374812593704,0.8852459016393442,0.5567010309278351,0.6835443037974683,0.7722101645867245
16,17,"['total night charge', 'total intl calls', 'total day minutes', 'international plan', 'total day charge', 'total eve minutes', 'total eve charge', 'total intl minutes', 'number vmail messages', 'voice mail plan']",0.9250374812593704,0.9122807017543859,0.5360824742268041,0.6753246753246753,0.7636552722011213
17,18,"['total night calls', 'total day minutes', 'total eve charge', 'total night minutes', 'total day calls', 'total intl calls', 'total intl charge', 'voice mail plan', 'total intl minutes', 'total night charge']",0.8875562218890555,0.8928571428571429,0.25773195876288657,0.4,0.6262344004340749
18,19,"['total intl minutes', 'total intl calls', 'total intl charge', 'total eve minutes', 'total day minutes', 'total night minutes', 'total day calls', 'total night charge', 'international plan', 'account length']",0.8980509745127436,0.7457627118644068,0.4536082474226804,0.5641025641025641,0.7136462289744981
